text,path,num_frames,width,height,trajectory_maps_path,videoid,mask_start_index,mask_end_index,box_path
 a person making dough,/datadrive3/pure_data/videos/4556465.mp4,797,1920,1080,/datadrive3/pure_data/masks/4556465,4556465,0,796,/datadrive3/pure_data/boxs/4556465
"Residential street with identical houses featuring white balconies and red brick driveways, parked cars line the road.",/datadrive3/pure_data/videos/3679667.mp4,68,1920,1080,/datadrive3/pure_data/masks/3679667,3679667,0,67,/datadrive3/pure_data/boxs/3679667
 snapshots of dog during shower and after,/datadrive3/pure_data/videos/10914655.mp4,437,606,1080,/datadrive3/pure_data/masks/10914655,10914655,0,436,/datadrive3/pure_data/boxs/10914655
"A waterfall cascades down a rugged cliff surrounded by lush greenery, with water droplets misting through the air.",/datadrive3/pure_data/videos/5250796.mp4,440,1920,1080,/datadrive3/pure_data/masks/5250796,5250796,0,439,/datadrive3/pure_data/boxs/5250796
 pouring beer into a glass,/datadrive3/pure_data/videos/5051063.mp4,289,1920,1080,/datadrive3/pure_data/masks/5051063,5051063,0,288,/datadrive3/pure_data/boxs/5051063
"A person in a patterned dress holds a delicate floral teacup with a poised hand, ready to sip.",/datadrive3/pure_data/videos/4974757.mp4,1064,568,1080,/datadrive3/pure_data/masks/4974757,4974757,0,1063,/datadrive3/pure_data/boxs/4974757
"A truck loaded with red baskets is parked on a sandy beach, with boats floating in the sea under a cloudy sky.",/datadrive3/pure_data/videos/16454278.mp4,181,1920,1080,/datadrive3/pure_data/masks/16454278,16454278,0,180,/datadrive3/pure_data/boxs/16454278
 group of people stacking hands together,/datadrive3/pure_data/videos/6193976.mp4,328,1920,1080,/datadrive3/pure_data/masks/6193976,6193976,0,327,/datadrive3/pure_data/boxs/6193976
"In a bustling coffee shop, a barista expertly maneuvers around espresso machines and steaming pitchers, while customers patiently await their freshly brewed drinks.",/datadrive3/pure_data/videos/6683956.mp4,310,1920,1080,/datadrive3/pure_data/masks/6683956,6683956,0,309,/datadrive3/pure_data/boxs/6683956
"The image captures a close-up view of ripe, dark grapes nestled among vibrant green leaves on a sunny day.",/datadrive3/pure_data/videos/6895108.mp4,536,1920,1080,/datadrive3/pure_data/masks/6895108,6895108,0,535,/datadrive3/pure_data/boxs/6895108
 women standing in front of a blue wall,/datadrive3/pure_data/videos/5530413.mp4,217,1920,1080,/datadrive3/pure_data/masks/5530413,5530413,0,216,/datadrive3/pure_data/boxs/5530413
"Two individuals stand amidst a field of purple flowers, with a serene backdrop of greenery under a clear sky.",/datadrive3/pure_data/videos/4909659.mp4,1085,1920,1012,/datadrive3/pure_data/masks/4909659,4909659,0,1084,/datadrive3/pure_data/boxs/4909659
 clear sky over rocks on shore,/datadrive3/pure_data/videos/10489469.mp4,150,606,1080,/datadrive3/pure_data/masks/10489469,10489469,0,149,/datadrive3/pure_data/boxs/10489469
 couple playing with their dog,/datadrive3/pure_data/videos/5364845.mp4,337,1920,1012,/datadrive3/pure_data/masks/5364845,5364845,0,336,/datadrive3/pure_data/boxs/5364845
 back view of people cycling in city street,/datadrive3/pure_data/videos/5920993.mp4,148,606,1080,/datadrive3/pure_data/masks/5920993,5920993,0,147,/datadrive3/pure_data/boxs/5920993
A chef's hand in a black glove swiftly chops lettuce with a large knife on a wooden cutting board.,/datadrive3/pure_data/videos/11643717.mp4,384,1920,1080,/datadrive3/pure_data/masks/11643717,11643717,0,383,/datadrive3/pure_data/boxs/11643717
 a lion and lioness in the fields,/datadrive3/pure_data/videos/5607553.mp4,662,1920,1080,/datadrive3/pure_data/masks/5607553,5607553,0,661,/datadrive3/pure_data/boxs/5607553
