videoid,num_objects,path,trajectory_maps_path,text,flow
3704164,1,/datadrive2/lqh/testset_data/resized_videos/3704164.mp4,/datadrive2/lqh/testset_data/filtered_masks/3704164, footage of the sea waves,117.6101303100586
5289475,1,/datadrive2/lqh/testset_data/resized_videos/5289475.mp4,/datadrive2/lqh/testset_data/filtered_masks/5289475, beautiful scenery of the ocean,89.8732681274414
4144985,1,/datadrive2/lqh/testset_data/resized_videos/4144985.mp4,/datadrive2/lqh/testset_data/filtered_masks/4144985, spray one person virus wipe,85.18157958984375
4733114,1,/datadrive2/lqh/testset_data/resized_videos/4733114.mp4,/datadrive2/lqh/testset_data/filtered_masks/4733114, close up of a person using a water color,84.13556671142578
4742386,1,/datadrive2/lqh/testset_data/resized_videos/4742386.mp4,/datadrive2/lqh/testset_data/filtered_masks/4742386, man playing basketball at the playground,80.50996398925781
3970141,1,/datadrive2/lqh/testset_data/resized_videos/3970141.mp4,/datadrive2/lqh/testset_data/filtered_masks/3970141, person putting ice in a drinking glass,76.70716094970703
10039840,1,/datadrive2/lqh/testset_data/resized_videos/10039840.mp4,/datadrive2/lqh/testset_data/filtered_masks/10039840, a person sharpening his knife,74.40476989746094
6798929,1,/datadrive2/lqh/testset_data/resized_videos/6798929.mp4,/datadrive2/lqh/testset_data/filtered_masks/6798929, woman dancing and playing the tambourine on beach,73.26680755615234
6774634,1,/datadrive2/lqh/testset_data/resized_videos/6774634.mp4,/datadrive2/lqh/testset_data/filtered_masks/6774634, a man smiling while talking in a business meeting,68.66279602050781
4779526,1,/datadrive2/lqh/testset_data/resized_videos/4779526.mp4,/datadrive2/lqh/testset_data/filtered_masks/4779526,"A person in a white shirt embraces their knees, suggesting a moment of contemplation or emotional distress.",63.982696533203125
5286378,1,/datadrive2/lqh/testset_data/resized_videos/5286378.mp4,/datadrive2/lqh/testset_data/filtered_masks/5286378,"A determined crowd raises signs and fists, uniting in a protest against racism, demanding justice and peace.",61.79668045043945
6396993,1,/datadrive2/lqh/testset_data/resized_videos/6396993.mp4,/datadrive2/lqh/testset_data/filtered_masks/6396993, waves crashing on a shore,61.37971496582031
4927727,1,/datadrive2/lqh/testset_data/resized_videos/4927727.mp4,/datadrive2/lqh/testset_data/filtered_masks/4927727,"A close-up view of a cluster of white, hexagonal-shaped bubbles floating on a blue liquid surface, creating a serene and peaceful scene.",59.5933723449707
15304424,1,/datadrive2/lqh/testset_data/resized_videos/15304424.mp4,/datadrive2/lqh/testset_data/filtered_masks/15304424, drone footage of breaking waves and a sandy beach,58.13336563110352
6688354,1,/datadrive2/lqh/testset_data/resized_videos/6688354.mp4,/datadrive2/lqh/testset_data/filtered_masks/6688354, male model in artistic makeup posing with chess piece,57.53691482543945
5155852,1,/datadrive2/lqh/testset_data/resized_videos/5155852.mp4,/datadrive2/lqh/testset_data/filtered_masks/5155852,"A person stands near a curved wall, casting a shadow on its cracked surface from the sun's rays.",56.32648849487305
5359139,1,/datadrive2/lqh/testset_data/resized_videos/5359139.mp4,/datadrive2/lqh/testset_data/filtered_masks/5359139, woman doing modern dance,55.79481887817383
12901553,1,/datadrive2/lqh/testset_data/resized_videos/12901553.mp4,/datadrive2/lqh/testset_data/filtered_masks/12901553, drone shot of a desert at dawn,55.28621292114258
4185305,1,/datadrive2/lqh/testset_data/resized_videos/4185305.mp4,/datadrive2/lqh/testset_data/filtered_masks/4185305, baby laughter playful crawling,52.99702453613281
5607992,1,/datadrive2/lqh/testset_data/resized_videos/5607992.mp4,/datadrive2/lqh/testset_data/filtered_masks/5607992, a pod of dolphins hunting a school of sardines,52.06950378417969
4259000,1,/datadrive2/lqh/testset_data/resized_videos/4259000.mp4,/datadrive2/lqh/testset_data/filtered_masks/4259000, man doing sit ups,52.05447006225586
3998443,1,/datadrive2/lqh/testset_data/resized_videos/3998443.mp4,/datadrive2/lqh/testset_data/filtered_masks/3998443,"A barber's hand, grasping a straight razor, carefully trims a man's beard with precision and focus.",51.40895462036133
10397583,1,/datadrive2/lqh/testset_data/resized_videos/10397583.mp4,/datadrive2/lqh/testset_data/filtered_masks/10397583, aerial view of seaside scenery at sunrise,51.060089111328125
15686379,1,/datadrive2/lqh/testset_data/resized_videos/15686379.mp4,/datadrive2/lqh/testset_data/filtered_masks/15686379,A blue car crosses a bridge over a rocky riverbed surrounded by lush green forests.,50.91215896606445
2355571,1,/datadrive2/lqh/testset_data/resized_videos/2355571.mp4,/datadrive2/lqh/testset_data/filtered_masks/2355571, a grass field over looking the sea,50.72342300415039
10740325,1,/datadrive2/lqh/testset_data/resized_videos/10740325.mp4,/datadrive2/lqh/testset_data/filtered_masks/10740325, close up on woman breaking egg,49.44236755371094
5480025,1,/datadrive2/lqh/testset_data/resized_videos/5480025.mp4,/datadrive2/lqh/testset_data/filtered_masks/5480025, orange flower petals in the bowl,49.028541564941406
3998956,1,/datadrive2/lqh/testset_data/resized_videos/3998956.mp4,/datadrive2/lqh/testset_data/filtered_masks/3998956, close up shot of american flag swaying,48.93179702758789
5585328,1,/datadrive2/lqh/testset_data/resized_videos/5585328.mp4,/datadrive2/lqh/testset_data/filtered_masks/5585328, time lapse video of a woman swimming in infinity pool,48.09330368041992
5045065,1,/datadrive2/lqh/testset_data/resized_videos/5045065.mp4,/datadrive2/lqh/testset_data/filtered_masks/5045065,"Two individuals are intimately seated beside each other, one with a neatly braided long white hair and the other showing a bare shoulder, amidst a blurred green backdrop.",47.45060729980469
11627817,1,/datadrive2/lqh/testset_data/resized_videos/11627817.mp4,/datadrive2/lqh/testset_data/filtered_masks/11627817, top view of sea waves on beach,46.596824645996094
10397586,1,/datadrive2/lqh/testset_data/resized_videos/10397586.mp4,/datadrive2/lqh/testset_data/filtered_masks/10397586, storm clouds over sea coast,46.033912658691406
5146012,1,/datadrive2/lqh/testset_data/resized_videos/5146012.mp4,/datadrive2/lqh/testset_data/filtered_masks/5146012, a ballerina practicing in the dance studio,45.99379348754883
