text,path,num_frames,width,height,trajectory_maps_path,videoid,mask_start_index,mask_end_index,flow
 a person making dough,/datadrive/videos-popular/4556465.mp4,797,3840,2160,/datadrive2/grounded_sam2_output/4556465/masks_images,4556465,0,796,3.315756559371948
"Residential street with identical houses featuring white balconies and red brick driveways, parked cars line the road.",/datadrive/videos-popular/3679667.mp4,68,3840,2160,/datadrive2/grounded_sam2_output/3679667/masks_images,3679667,0,67,19.96465110778809
 snapshots of dog during shower and after,/datadrive/videos-popular/10914655.mp4,437,1080,1920,/datadrive2/grounded_sam2_output/10914655/masks_images,10914655,0,436,18.239761352539062
"A waterfall cascades down a rugged cliff surrounded by lush greenery, with water droplets misting through the air.",/datadrive/videos-popular/5250796.mp4,440,1920,1080,/datadrive2/grounded_sam2_output/5250796/masks_images,5250796,0,439,8.779162406921387
 pouring beer into a glass,/datadrive/videos-popular/5051063.mp4,289,3840,2160,/datadrive2/grounded_sam2_output/5051063/masks_images,5051063,0,288,3.403105974197388
"A person in a patterned dress holds a delicate floral teacup with a poised hand, ready to sip.",/datadrive/videos-popular/4974757.mp4,1064,2160,4096,/datadrive2/grounded_sam2_output/4974757/masks_images,4974757,0,1063,6.626877307891846
 an animal duck resting,/datadrive/videos-popular/5795145.mp4,193,4096,2160,/datadrive2/grounded_sam2_output/5795145/masks_images,5795145,0,192,2.2768890857696533
 couple having a picnic,/datadrive/videos-popular/4504043.mp4,436,3840,2160,/datadrive2/grounded_sam2_output/4504043/masks_images,4504043,0,435,7.510802745819092
"A truck loaded with red baskets is parked on a sandy beach, with boats floating in the sea under a cloudy sky.",/datadrive/videos-popular/16454278.mp4,181,3840,2160,/datadrive2/grounded_sam2_output/16454278/masks_images,16454278,0,180,19.77374649047852
 group of people stacking hands together,/datadrive/videos-popular/6193976.mp4,328,3840,2160,/datadrive2/grounded_sam2_output/6193976/masks_images,6193976,0,327,2.737907886505127
"In a bustling coffee shop, a barista expertly maneuvers around espresso machines and steaming pitchers, while customers patiently await their freshly brewed drinks.",/datadrive/videos-popular/6683956.mp4,310,3840,2160,/datadrive2/grounded_sam2_output/6683956/masks_images,6683956,0,309,4.6235551834106445
"The image captures a close-up view of ripe, dark grapes nestled among vibrant green leaves on a sunny day.",/datadrive/videos-popular/6895108.mp4,536,3840,2160,/datadrive2/grounded_sam2_output/6895108/masks_images,6895108,0,535,3.861479997634888
 women standing in front of a blue wall,/datadrive/videos-popular/5530413.mp4,217,3840,2160,/datadrive2/grounded_sam2_output/5530413/masks_images,5530413,0,216,2.275815486907959
"Two individuals stand amidst a field of purple flowers, with a serene backdrop of greenery under a clear sky.",/datadrive/videos-popular/4909659.mp4,1085,4096,2160,/datadrive2/grounded_sam2_output/4909659/masks_images,4909659,0,1084,2.6471407413482666
 clear sky over rocks on shore,/datadrive/videos-popular/10489469.mp4,150,1080,1920,/datadrive2/grounded_sam2_output/10489469/masks_images,10489469,0,149,26.47894096374512
 couple playing with their dog,/datadrive/videos-popular/5364845.mp4,337,4096,2160,/datadrive2/grounded_sam2_output/5364845/masks_images,5364845,0,336,3.702478647232056
 back view of people cycling in city street,/datadrive/videos-popular/5920993.mp4,148,1080,1920,/datadrive2/grounded_sam2_output/5920993/masks_images,5920993,0,147,3.651030778884888
 young woman writing in personal diary,/datadrive/videos-popular/6698391.mp4,640,4096,2160,/datadrive2/grounded_sam2_output/6698391/masks_images,6698391,0,639,3.4297192096710205
A chef's hand in a black glove swiftly chops lettuce with a large knife on a wooden cutting board.,/datadrive/videos-popular/11643717.mp4,384,3840,2160,/datadrive2/grounded_sam2_output/11643717/masks_images,11643717,0,383,7.257134437561035
 a lion and lioness in the fields,/datadrive/videos-popular/5607553.mp4,662,1920,1080,/datadrive2/grounded_sam2_output/5607553/masks_images,5607553,0,661,21.491500854492188
 waving flag of india,/datadrive/videos-popular/13190489.mp4,638,3840,2160,/datadrive2/grounded_sam2_output/13190489/masks_images,13190489,0,637,2.26133680343628
"A person in a plain white t-shirt and black pants stands against a white background, with their body slightly turned to the side.",/datadrive/videos-popular/6668693.mp4,215,1080,1920,/datadrive2/grounded_sam2_output/6668693/masks_images,6668693,0,214,5.541223049163818
"Two individuals stand close by the seaside rocks, one gesturing towards the other amidst a calm, coastal backdrop.",/datadrive/videos-popular/4918299.mp4,151,1920,1080,/datadrive2/grounded_sam2_output/4918299/masks_images,4918299,0,150,3.3176772594451904
 woman posing on marble wall,/datadrive/videos-popular/6328479.mp4,999,2160,4096,/datadrive2/grounded_sam2_output/6328479/masks_images,6328479,0,998,2.0912833213806152
"A group of individuals engages in a lively discussion in a locker room, with one person gesturing animatedly, while another holds a basketball.",/datadrive/videos-popular/6764402.mp4,360,4096,2160,/datadrive2/grounded_sam2_output/6764402/masks_images,6764402,0,359,14.316445350646973
 a fencer practicing on a dummy,/datadrive/videos-popular/6536658.mp4,441,3840,2160,/datadrive2/grounded_sam2_output/6536658/masks_images,6536658,0,440,9.12515926361084
"Two individuals are enjoying a serene moment by the water, with a portable table set between their camping chairs, holding a thermos and a container.",/datadrive/videos-popular/6263356.mp4,254,1920,1080,/datadrive2/grounded_sam2_output/6263356/masks_images,6263356,0,253,5.891645908355713
 two kids removing the ornaments from the christmas tree,/datadrive/videos-popular/6127665.mp4,1948,2160,4096,/datadrive2/grounded_sam2_output/6127665/masks_images,6127665,0,1947,3.852870941162109
"A person with a unique hairstyle stands wearing a pink satin top, layered chain necklaces, and a black strap over their shoulder, against a blurred green background.",/datadrive/videos-popular/10200815.mp4,222,2160,4096,/datadrive2/grounded_sam2_output/10200815/masks_images,10200815,0,221,4.730740070343018
 two women walking outdoors while discussing their notes,/datadrive/videos-popular/5536735.mp4,220,3840,2160,/datadrive2/grounded_sam2_output/5536735/masks_images,5536735,0,219,7.674726963043213
"A person is sitting on a couch and painting their nails with a dark polish, with a glass dish beside them.",/datadrive/videos-popular/6448149.mp4,287,1920,1080,/datadrive2/grounded_sam2_output/6448149/masks_images,6448149,0,286,4.276359081268311
 a happy man embracing a woman holding a white mug while sitting on the sofa,/datadrive/videos-popular/6570955.mp4,349,2560,1080,/datadrive2/grounded_sam2_output/6570955/masks_images,6570955,0,348,5.097012042999268
 low angle view of a person jogging outdoors,/datadrive/videos-popular/6022787.mp4,377,3840,2160,/datadrive2/grounded_sam2_output/6022787/masks_images,6022787,0,376,54.012489318847656
 men with face masks training in gym,/datadrive/videos-popular/6116009.mp4,246,1920,1080,/datadrive2/grounded_sam2_output/6116009/masks_images,6116009,0,245,11.516399383544922
 a man drinking coffee while ice fishing,/datadrive/videos-popular/6831203.mp4,779,2160,3840,/datadrive2/grounded_sam2_output/6831203/masks_images,6831203,0,778,2.8711483478546143
 children running towards the smoke,/datadrive/videos-popular/5607535.mp4,319,4096,2160,/datadrive2/grounded_sam2_output/5607535/masks_images,5607535,0,318,27.709964752197266
 side view mirror of a car driving on a highway,/datadrive/videos-popular/12601957.mp4,812,1080,1920,/datadrive2/grounded_sam2_output/12601957/masks_images,12601957,0,811,7.367183208465576
"A person stretches joyfully on a bed in a sunny, brick-walled room with white bedding and decorative oval wall plates.",/datadrive/videos-popular/4008308.mp4,524,4096,2160,/datadrive2/grounded_sam2_output/4008308/masks_images,4008308,0,523,3.3240816593170166
 man setting up a hammock,/datadrive/videos-popular/6263351.mp4,250,1920,1080,/datadrive2/grounded_sam2_output/6263351/masks_images,6263351,0,249,8.56528377532959
 mural on a building,/datadrive/videos-popular/2836314.mp4,354,3840,2160,/datadrive2/grounded_sam2_output/2836314/masks_images,2836314,0,353,8.140336990356445
 frozen road and forest in winter,/datadrive/videos-popular/10130265.mp4,105,3840,2160,/datadrive2/grounded_sam2_output/10130265/masks_images,10130265,0,104,11.996216773986816
Two computer monitors displaying complex audio mixing software sit atop a soundboard with numerous buttons and sliders at a live event.,/datadrive/videos-popular/19233938.mp4,293,3840,2160,/datadrive2/grounded_sam2_output/19233938/masks_images,19233938,0,292,7.158627033233643
 a woman swimming in the pool,/datadrive/videos-popular/6539544.mp4,481,2560,1440,/datadrive2/grounded_sam2_output/6539544/masks_images,6539544,0,480,9.306344985961914
"A person sits on a brown leather chair against a green backdrop, brushing their hair with a motion blur effect.",/datadrive/videos-popular/4194831.mp4,648,1920,1080,/datadrive2/grounded_sam2_output/4194831/masks_images,4194831,0,647,2.087324619293213
"A partially obscured view of a dimly lit casino, showcasing black pendant lights and a neon sign advertising live poker.",/datadrive/videos-popular/3994843.mp4,629,3840,2160,/datadrive2/grounded_sam2_output/3994843/masks_images,3994843,0,628,5.9465508460998535
"A person stretches their arms up amidst a sunlit, verdant park with abundant trees and a fence-lined pathway.",/datadrive/videos-popular/4449934.mp4,586,3840,2160,/datadrive2/grounded_sam2_output/4449934/masks_images,4449934,0,585,2.183717966079712
"A person stands behind a podium, gesturing passionately during a presentation in a sunlit modern room with glass doors.",/datadrive/videos-popular/11806324.mp4,467,1920,1080,/datadrive2/grounded_sam2_output/11806324/masks_images,11806324,0,466,3.328242063522339
"A blurred image of a person in the background with a focus on the green plants in the foreground, creating a serene and natural atmosphere.",/datadrive/videos-popular/4768095.mp4,397,1920,1080,/datadrive2/grounded_sam2_output/4768095/masks_images,4768095,0,396,5.697809219360352
 a person writing on a paper,/datadrive/videos-popular/6830386.mp4,854,4096,2160,/datadrive2/grounded_sam2_output/6830386/masks_images,6830386,0,853,4.780951023101807
 men doing fist bomb in the beach,/datadrive/videos-popular/6179959.mp4,179,2560,1440,/datadrive2/grounded_sam2_output/6179959/masks_images,6179959,0,178,18.3408432006836
 a woman swimming in the pool,/datadrive/videos-popular/6012388.mp4,350,3840,2160,/datadrive2/grounded_sam2_output/6012388/masks_images,6012388,0,349,32.575904846191406
 beautiful sunflower in the wind,/datadrive/videos-popular/5366270.mp4,195,1920,1080,/datadrive2/grounded_sam2_output/5366270/masks_images,5366270,0,194,6.194921970367432
 a man and woman dancing together,/datadrive/videos-popular/6949112.mp4,251,3840,2160,/datadrive2/grounded_sam2_output/6949112/masks_images,6949112,0,250,2.782665491104126
 an aerial footage of a couple on the seashore,/datadrive/videos-popular/4725028.mp4,235,1920,1080,/datadrive2/grounded_sam2_output/4725028/masks_images,4725028,0,234,5.494763851165772
 an empty park covered in ice brought by the snowfall,/datadrive/videos-popular/3083427.mp4,422,1920,1080,/datadrive2/grounded_sam2_output/3083427/masks_images,3083427,0,421,9.968381881713867
