text,path,num_frames,width,height,trajectory_maps_path,videoid,mask_start_index,mask_end_index,flow
 woman browsing her mobile phone while on the train,/datadrive/videos-popular/5354967.mp4,241,3840,2160,/datadrive2/grounded_sam2_output/5354967/masks_images,5354967,0,240,12.16701316833496
 a person making dough,/datadrive/videos-popular/4556465.mp4,797,3840,2160,/datadrive2/grounded_sam2_output/4556465/masks_images,4556465,0,796,3.315756559371948
"Residential street with identical houses featuring white balconies and red brick driveways, parked cars line the road.",/datadrive/videos-popular/3679667.mp4,578,3840,2160,/datadrive2/grounded_sam2_output/3679667/masks_images,3679667,0,577,19.96465110778809
 a shot of miraflores locks operation,/datadrive/videos-popular/4085112.mp4,552,1920,1080,/datadrive2/grounded_sam2_output/4085112/masks_images,4085112,0,551,2.5334997177124023
 snapshots of dog during shower and after,/datadrive/videos-popular/10914655.mp4,437,1080,1920,/datadrive2/grounded_sam2_output/10914655/masks_images,10914655,0,436,18.239761352539062
"A waterfall cascades down a rugged cliff surrounded by lush greenery, with water droplets misting through the air.",/datadrive/videos-popular/5250796.mp4,440,1920,1080,/datadrive2/grounded_sam2_output/5250796/masks_images,5250796,0,439,8.779162406921387
 pouring beer into a glass,/datadrive/videos-popular/5051063.mp4,289,3840,2160,/datadrive2/grounded_sam2_output/5051063/masks_images,5051063,0,288,3.403105974197388
"A person in a patterned dress holds a delicate floral teacup with a poised hand, ready to sip.",/datadrive/videos-popular/4974757.mp4,1064,2160,4096,/datadrive2/grounded_sam2_output/4974757/masks_images,4974757,0,1063,6.626877307891846
 an animal duck resting,/datadrive/videos-popular/5795145.mp4,193,4096,2160,/datadrive2/grounded_sam2_output/5795145/masks_images,5795145,0,192,2.2768890857696533
 couple having a picnic,/datadrive/videos-popular/4504043.mp4,436,3840,2160,/datadrive2/grounded_sam2_output/4504043/masks_images,4504043,0,435,7.510802745819092
"A truck loaded with red baskets is parked on a sandy beach, with boats floating in the sea under a cloudy sky.",/datadrive/videos-popular/16454278.mp4,181,3840,2160,/datadrive2/grounded_sam2_output/16454278/masks_images,16454278,0,180,19.77374649047852
 group of people stacking hands together,/datadrive/videos-popular/6193976.mp4,328,3840,2160,/datadrive2/grounded_sam2_output/6193976/masks_images,6193976,0,327,2.737907886505127
"In a bustling coffee shop, a barista expertly maneuvers around espresso machines and steaming pitchers, while customers patiently await their freshly brewed drinks.",/datadrive/videos-popular/6683956.mp4,310,3840,2160,/datadrive2/grounded_sam2_output/6683956/masks_images,6683956,0,309,4.6235551834106445
"The city skyline is illuminated by the setting sun, with modern glass skyscrapers standing tall amidst older, historic buildings.",/datadrive/videos-popular/17671668.mp4,430,3840,2160,/datadrive2/grounded_sam2_output/17671668/masks_images,17671668,0,429,6.218940258026123
"The image captures a close-up view of ripe, dark grapes nestled among vibrant green leaves on a sunny day.",/datadrive/videos-popular/6895108.mp4,536,3840,2160,/datadrive2/grounded_sam2_output/6895108/masks_images,6895108,0,535,3.861479997634888
 women standing in front of a blue wall,/datadrive/videos-popular/5530413.mp4,217,3840,2160,/datadrive2/grounded_sam2_output/5530413/masks_images,5530413,0,216,2.275815486907959
"Two individuals stand amidst a field of purple flowers, with a serene backdrop of greenery under a clear sky.",/datadrive/videos-popular/4909659.mp4,1085,4096,2160,/datadrive2/grounded_sam2_output/4909659/masks_images,4909659,0,1084,2.6471407413482666
 clear sky over rocks on shore,/datadrive/videos-popular/10489469.mp4,150,1080,1920,/datadrive2/grounded_sam2_output/10489469/masks_images,10489469,0,149,26.47894096374512
 couple playing with their dog,/datadrive/videos-popular/5364845.mp4,337,4096,2160,/datadrive2/grounded_sam2_output/5364845/masks_images,5364845,0,336,3.702478647232056
 back view of people cycling in city street,/datadrive/videos-popular/5920993.mp4,148,1080,1920,/datadrive2/grounded_sam2_output/5920993/masks_images,5920993,0,147,3.651030778884888
 young woman writing in personal diary,/datadrive/videos-popular/6698391.mp4,640,4096,2160,/datadrive2/grounded_sam2_output/6698391/masks_images,6698391,0,639,3.4297192096710205
A chef's hand in a black glove swiftly chops lettuce with a large knife on a wooden cutting board.,/datadrive/videos-popular/11643717.mp4,384,3840,2160,/datadrive2/grounded_sam2_output/11643717/masks_images,11643717,0,383,7.257134437561035
 a lion and lioness in the fields,/datadrive/videos-popular/5607553.mp4,662,1920,1080,/datadrive2/grounded_sam2_output/5607553/masks_images,5607553,0,661,21.491500854492188
 waving flag of india,/datadrive/videos-popular/13190489.mp4,638,3840,2160,/datadrive2/grounded_sam2_output/13190489/masks_images,13190489,0,637,2.2613368034362797
 santa claus using a tablet,/datadrive/videos-popular/6306194.mp4,268,2560,1440,/datadrive2/grounded_sam2_output/6306194/masks_images,6306194,0,267,13.872880935668944
"A person in a plain white t-shirt and black pants stands against a white background, with their body slightly turned to the side.",/datadrive/videos-popular/6668693.mp4,215,1080,1920,/datadrive2/grounded_sam2_output/6668693/masks_images,6668693,0,214,5.541223049163818
 fashion cute blonde young,/datadrive/videos-popular/4715365.mp4,264,2160,4096,/datadrive2/grounded_sam2_output/4715365/masks_images,4715365,0,263,7.789188861846924
"Two individuals stand close by the seaside rocks, one gesturing towards the other amidst a calm, coastal backdrop.",/datadrive/videos-popular/4918299.mp4,151,1920,1080,/datadrive2/grounded_sam2_output/4918299/masks_images,4918299,0,150,3.3176772594451904
 woman posing on marble wall,/datadrive/videos-popular/6328479.mp4,999,2160,4096,/datadrive2/grounded_sam2_output/6328479/masks_images,6328479,0,998,2.0912833213806152
"A group of individuals engages in a lively discussion in a locker room, with one person gesturing animatedly, while another holds a basketball.",/datadrive/videos-popular/6764402.mp4,360,4096,2160,/datadrive2/grounded_sam2_output/6764402/masks_images,6764402,0,359,14.316445350646973
"A calm river flows through a lush green landscape, surrounded by tropical trees and a few scattered houses.",/datadrive/videos-popular/19219468.mp4,293,3840,2160,/datadrive2/grounded_sam2_output/19219468/masks_images,19219468,0,292,2.783046245574951
 a fencer practicing on a dummy,/datadrive/videos-popular/6536658.mp4,441,3840,2160,/datadrive2/grounded_sam2_output/6536658/masks_images,6536658,0,440,9.12515926361084
"Two individuals are enjoying a serene moment by the water, with a portable table set between their camping chairs, holding a thermos and a container.",/datadrive/videos-popular/6263356.mp4,254,1920,1080,/datadrive2/grounded_sam2_output/6263356/masks_images,6263356,0,253,5.891645908355713
 two kids removing the ornaments from the christmas tree,/datadrive/videos-popular/6127665.mp4,1948,2160,4096,/datadrive2/grounded_sam2_output/6127665/masks_images,6127665,0,1947,3.852870941162109
"A person with a unique hairstyle stands wearing a pink satin top, layered chain necklaces, and a black strap over their shoulder, against a blurred green background.",/datadrive/videos-popular/10200815.mp4,222,2160,4096,/datadrive2/grounded_sam2_output/10200815/masks_images,10200815,0,221,4.730740070343018
 two women walking outdoors while discussing their notes,/datadrive/videos-popular/5536735.mp4,220,3840,2160,/datadrive2/grounded_sam2_output/5536735/masks_images,5536735,0,219,7.674726963043213
"A person is sitting on a couch and painting their nails with a dark polish, with a glass dish beside them.",/datadrive/videos-popular/6448149.mp4,287,1920,1080,/datadrive2/grounded_sam2_output/6448149/masks_images,6448149,0,286,4.276359081268311
 a happy man embracing a woman holding a white mug while sitting on the sofa,/datadrive/videos-popular/6570955.mp4,349,2560,1080,/datadrive2/grounded_sam2_output/6570955/masks_images,6570955,0,348,5.097012042999268
 low angle view of a person jogging outdoors,/datadrive/videos-popular/6022787.mp4,377,3840,2160,/datadrive2/grounded_sam2_output/6022787/masks_images,6022787,0,376,54.012489318847656
 men with face masks training in gym,/datadrive/videos-popular/6116009.mp4,246,1920,1080,/datadrive2/grounded_sam2_output/6116009/masks_images,6116009,0,245,11.516399383544922
"A group of people in festive attire exchanges gifts around a table adorned with red cups, plates, and champagne bottles, celebrating the holiday spirit.",/datadrive/videos-popular/6519597.mp4,454,3840,2160,/datadrive2/grounded_sam2_output/6519597/masks_images,6519597,0,453,6.098012924194336
 a man drinking coffee while ice fishing,/datadrive/videos-popular/6831203.mp4,779,2160,3840,/datadrive2/grounded_sam2_output/6831203/masks_images,6831203,0,778,2.8711483478546143
 man video calling his friend,/datadrive/videos-popular/6651492.mp4,251,3840,2160,/datadrive2/grounded_sam2_output/6651492/masks_images,6651492,0,250,8.89130687713623
"A person in a casual grey t-shirt and blue jeans holds a small red jar with a white label, standing against a plain background.",/datadrive/videos-popular/6957620.mp4,332,4096,2160,/datadrive2/grounded_sam2_output/6957620/masks_images,6957620,0,331,7.89564323425293
 a pod of dolphins in the sea,/datadrive/videos-popular/5608047.mp4,309,1920,1080,/datadrive2/grounded_sam2_output/5608047/masks_images,5608047,0,308,9.972207069396973
"A quiet street lined with shops and apartments, with a traditional windmill in the background and empty benches on the sidewalk.",/datadrive/videos-popular/4554564.mp4,243,640,360,/datadrive2/grounded_sam2_output/4554564/masks_images,4554564,0,242,3.315539836883545
"A serene and picturesque beach with crystal clear turquoise waters, white sand, and lush greenery along the coastline.",/datadrive/videos-popular/2867868.mp4,658,3840,2160,/datadrive2/grounded_sam2_output/2867868/masks_images,2867868,0,657,29.41166114807129
"Aerial view of a camping ground with scattered tents, cars, and people enjoying the outdoors.",/datadrive/videos-popular/18668122.mp4,361,2560,1440,/datadrive2/grounded_sam2_output/18668122/masks_images,18668122,0,360,7.3368988037109375
 children running towards the smoke,/datadrive/videos-popular/5607535.mp4,319,4096,2160,/datadrive2/grounded_sam2_output/5607535/masks_images,5607535,0,318,27.709964752197266
 side view mirror of a car driving on a highway,/datadrive/videos-popular/12601957.mp4,812,1080,1920,/datadrive2/grounded_sam2_output/12601957/masks_images,12601957,0,811,7.367183208465576
A room filled with cardboard boxes and a colorful painting indicates a moving day.,/datadrive/videos-popular/4569916.mp4,223,4096,2160,/datadrive2/grounded_sam2_output/4569916/masks_images,4569916,0,222,4.562297821044922
"A person stretches joyfully on a bed in a sunny, brick-walled room with white bedding and decorative oval wall plates.",/datadrive/videos-popular/4008308.mp4,524,4096,2160,/datadrive2/grounded_sam2_output/4008308/masks_images,4008308,0,523,3.3240816593170166
 close up shot of white flowers,/datadrive/videos-popular/4184115.mp4,800,1920,1080,/datadrive2/grounded_sam2_output/4184115/masks_images,4184115,0,799,6.04808235168457
People walk and take pictures in front of the Marrakech train station with its intricate facade and palm tree.,/datadrive/videos-popular/18446139.mp4,199,1920,1080,/datadrive2/grounded_sam2_output/18446139/masks_images,18446139,0,198,4.438751220703125
"A person's hand catches raindrops, which fall heavily in front of a blurred forest background.",/datadrive/videos-popular/17422591.mp4,275,2160,3840,/datadrive2/grounded_sam2_output/17422591/masks_images,17422591,0,274,12.572553634643556
 man setting up a hammock,/datadrive/videos-popular/6263351.mp4,250,1920,1080,/datadrive2/grounded_sam2_output/6263351/masks_images,6263351,0,249,8.56528377532959
 bird feeding on banana,/datadrive/videos-popular/10021039.mp4,277,3840,2160,/datadrive2/grounded_sam2_output/10021039/masks_images,10021039,0,276,7.120657920837402
 drone footage of river,/datadrive/videos-popular/4271644.mp4,16,1920,1080,/datadrive2/grounded_sam2_output/4271644/masks_images,4271644,0,15,33.301605224609375
 mural on a building,/datadrive/videos-popular/2836314.mp4,354,3840,2160,/datadrive2/grounded_sam2_output/2836314/masks_images,2836314,0,353,8.140336990356445
 frozen road and forest in winter,/datadrive/videos-popular/10130265.mp4,105,3840,2160,/datadrive2/grounded_sam2_output/10130265/masks_images,10130265,0,104,11.996216773986816
Two computer monitors displaying complex audio mixing software sit atop a soundboard with numerous buttons and sliders at a live event.,/datadrive/videos-popular/19233938.mp4,293,3840,2160,/datadrive2/grounded_sam2_output/19233938/masks_images,19233938,0,292,7.158627033233643
 a woman swimming in the pool,/datadrive/videos-popular/6539544.mp4,496,2560,1440,/datadrive2/grounded_sam2_output/6539544/masks_images,6539544,0,495,9.306344985961914
"A person sits on a brown leather chair against a green backdrop, brushing their hair with a motion blur effect.",/datadrive/videos-popular/4194831.mp4,648,1920,1080,/datadrive2/grounded_sam2_output/4194831/masks_images,4194831,0,647,2.087324619293213
"A partially obscured view of a dimly lit casino, showcasing black pendant lights and a neon sign advertising live poker.",/datadrive/videos-popular/3994843.mp4,629,3840,2160,/datadrive2/grounded_sam2_output/3994843/masks_images,3994843,0,628,5.9465508460998535
"A person stretches their arms up amidst a sunlit, verdant park with abundant trees and a fence-lined pathway.",/datadrive/videos-popular/4449934.mp4,586,3840,2160,/datadrive2/grounded_sam2_output/4449934/masks_images,4449934,0,585,2.183717966079712
"A person stands behind a podium, gesturing passionately during a presentation in a sunlit modern room with glass doors.",/datadrive/videos-popular/11806324.mp4,467,1920,1080,/datadrive2/grounded_sam2_output/11806324/masks_images,11806324,0,466,3.328242063522339
 drone footage of an industrial area in verna india,/datadrive/videos-popular/13594857.mp4,103,1920,1080,/datadrive2/grounded_sam2_output/13594857/masks_images,13594857,0,102,2.011740207672119
"A blurred image of a person in the background with a focus on the green plants in the foreground, creating a serene and natural atmosphere.",/datadrive/videos-popular/4768095.mp4,397,1920,1080,/datadrive2/grounded_sam2_output/4768095/masks_images,4768095,0,396,5.697809219360352
 glowing lights against black background,/datadrive/videos-popular/12920669.mp4,450,2560,1440,/datadrive2/grounded_sam2_output/12920669/masks_images,12920669,0,449,71.33128356933594
 creepy clown extreme close up,/datadrive/videos-popular/5427406.mp4,520,4096,2160,/datadrive2/grounded_sam2_output/5427406/masks_images,5427406,0,519,13.651827812194824
A car drives along a winding road that hugs the edge of a steep hillside with a stunning turquoise river below.,/datadrive/videos-popular/17566209.mp4,777,2560,1440,/datadrive2/grounded_sam2_output/17566209/masks_images,17566209,0,776,5.089944839477539
"A pair of round gold-rimmed glasses rest on a wooden surface beside an open spiral notebook, a yellow pen, and fall foliage.",/datadrive/videos-popular/5363072.mp4,303,3840,2160,/datadrive2/grounded_sam2_output/5363072/masks_images,5363072,0,302,13.004149436950684
 a person writing on a paper,/datadrive/videos-popular/6830386.mp4,854,4096,2160,/datadrive2/grounded_sam2_output/6830386/masks_images,6830386,0,853,4.780951023101807
 men doing fist bomb in the beach,/datadrive/videos-popular/6179959.mp4,179,2560,1440,/datadrive2/grounded_sam2_output/6179959/masks_images,6179959,0,178,18.340843200683597
 people protesting in the street,/datadrive/videos-popular/4623265.mp4,221,3840,2160,/datadrive2/grounded_sam2_output/4623265/masks_images,4623265,0,220,5.536434650421143
 a woman swimming in the pool,/datadrive/videos-popular/6012388.mp4,350,3840,2160,/datadrive2/grounded_sam2_output/6012388/masks_images,6012388,0,349,32.575904846191406
 beautiful sunflower in the wind,/datadrive/videos-popular/5366270.mp4,195,1920,1080,/datadrive2/grounded_sam2_output/5366270/masks_images,5366270,0,194,6.194921970367432
 a man and woman dancing together,/datadrive/videos-popular/6949112.mp4,251,3840,2160,/datadrive2/grounded_sam2_output/6949112/masks_images,6949112,0,250,2.782665491104126
 an aerial footage of a couple on the seashore,/datadrive/videos-popular/4725028.mp4,235,1920,1080,/datadrive2/grounded_sam2_output/4725028/masks_images,4725028,0,234,5.494763851165772
 a woman boss working while inside a car,/datadrive/videos-popular/5717618.mp4,444,2160,3840,/datadrive2/grounded_sam2_output/5717618/masks_images,5717618,0,443,5.079634189605713
 an empty park covered in ice brought by the snowfall,/datadrive/videos-popular/3083427.mp4,422,1920,1080,/datadrive2/grounded_sam2_output/3083427/masks_images,3083427,0,421,9.968381881713867
"A child reads a book under a colorful makeshift tent, surrounded by a bowl of popcorn and two adults.",/datadrive/videos-popular/6670287.mp4,1856,2160,4096,/datadrive2/grounded_sam2_output/6670287/masks_images,6670287,0,1855,5.197894096374512
 group of girls dancing and talking,/datadrive/videos-popular/5935459.mp4,257,3840,2160,/datadrive2/grounded_sam2_output/5935459/masks_images,5935459,0,256,3.885045051574707
 scenic view of a beautiful lake,/datadrive/videos-popular/5138887.mp4,146,1080,1920,/datadrive2/grounded_sam2_output/5138887/masks_images,5138887,0,145,44.66618347167969
"A sea of fluffy, pink caterpillar-like flowers stands tall among green leaves, gently swaying in the breeze.",/datadrive/videos-popular/1584921.mp4,1142,3840,2160,/datadrive2/grounded_sam2_output/1584921/masks_images,1584921,0,1141,3.81003737449646
 ornate stone carved statue on a building facade,/datadrive/videos-popular/3015502.mp4,320,1920,1080,/datadrive2/grounded_sam2_output/3015502/masks_images,3015502,0,319,30.54190826416016
 a boy smiling for the camera,/datadrive/videos-popular/5552625.mp4,173,3840,2160,/datadrive2/grounded_sam2_output/5552625/masks_images,5552625,0,172,5.516654968261719
 fashion man art makeup,/datadrive/videos-popular/4813447.mp4,992,2732,1440,/datadrive2/grounded_sam2_output/4813447/masks_images,4813447,0,991,13.06017780303955
 man and woman boating,/datadrive/videos-popular/6328332.mp4,1782,4096,2160,/datadrive2/grounded_sam2_output/6328332/masks_images,6328332,0,1781,5.571534633636475
 birds eye view of sailboats on lake,/datadrive/videos-popular/11583872.mp4,748,2560,1440,/datadrive2/grounded_sam2_output/11583872/masks_images,11583872,0,747,5.418311595916748
 man dancing beside a christmas tree,/datadrive/videos-popular/6518074.mp4,350,2160,3840,/datadrive2/grounded_sam2_output/6518074/masks_images,6518074,0,349,19.45974540710449
 two women looking at drawings and comparing them,/datadrive/videos-popular/5384822.mp4,307,4096,2160,/datadrive2/grounded_sam2_output/5384822/masks_images,5384822,0,306,4.335001468658447
"A large blue cargo ship named SUARDIAZ LINES, sits docked in a calm blue harbor, with a concrete bridge and industrial buildings in the background.",/datadrive/videos-popular/1191562.mp4,33,1920,1080,/datadrive2/grounded_sam2_output/1191562/masks_images,1191562,0,32,4.148696422576904
"A group of people stands by the water's edge, some capturing the moment with their cameras.",/datadrive/videos-popular/1244660.mp4,263,1280,720,/datadrive2/grounded_sam2_output/1244660/masks_images,1244660,0,262,2.846921682357788
 people waiting to enter basilica de guadalupe in mexico,/datadrive/videos-popular/10490098.mp4,300,1920,1080,/datadrive2/grounded_sam2_output/10490098/masks_images,10490098,0,299,11.595616340637209
 close up of a woman in a blue dress placing a ring on her finger,/datadrive/videos-popular/15017752.mp4,216,1920,1080,/datadrive2/grounded_sam2_output/15017752/masks_images,15017752,0,215,6.12068510055542
